"customer_code","product_code","date","discounts_pct","other_deductions_pct"
"70002017","A0118150101","2017-09-01","0.2659568373","0.0718706275"
"70002017","A0118150101","2017-10-01","0.3089921425","0.0976271962"
"70002017","A0118150101","2017-11-01","0.3312678749","0.0752107404"
"70002017","A0118150101","2018-01-01","0.2957916324","0.0720356315"
"70002017","A0118150101","2018-02-01","0.3207865527","0.0793345762"
"70002017","A0118150101","2018-03-01","0.2634826863","0.1007454661"
"70002017","A0118150101","2018-05-01","0.2231491730","0.0819604740"
"70002017","A0118150101","2018-06-01","0.3019501683","0.0791333546"
"70002017","A0118150101","2018-07-01","0.3123406450","0.0929448730"
"70002017","A0118150102","2017-09-01","0.2302247453","0.0868821520"
"70002017","A0118150102","2017-10-01","0.2997839307","0.1029174247"
"70002017","A0118150102","2017-11-01","0.3075021203","0.1020734461"
"70002017","A0118150102","2018-01-01","0.3160211226","0.0671494454"
"70002017","A0118150102","2018-02-01","0.3079746890","0.0955283889"
"70002017","A0118150102","2018-03-01","0.2328579501","0.0977063795"
"70002017","A0118150102","2018-05-01","0.3171278115","0.0859697241"
"70002017","A0118150102","2018-06-01","0.3069788578","0.0868030312"
"70002017","A0118150102","2018-07-01","0.3304823495","0.0797087453"
"70002017","A0118150103","2017-09-01","0.3010404413","0.0912774392"
"70002017","A0118150103","2017-10-01","0.3028357547","0.0704551200"
"70002017","A0118150103","2017-11-01","0.2951568702","0.0766950990"
"70002017","A0118150103","2018-01-01","0.2816169483","0.0787243456"
"70002017","A0118150103","2018-02-01","0.3100130756","0.0967347646"
"70002017","A0118150103","2018-03-01","0.3042776440","0.0885972921"
"70002017","A0118150103","2018-05-01","0.3152121890","0.0715361370"
"70002017","A0118150103","2018-06-01","0.3144344566","0.0844172439"
"70002017","A0118150103","2018-07-01","0.2475100053","0.0708893238"
"70002017","A0118150104","2017-09-01","0.2407384310","0.0983373906"
"70002017","A0118150104","2017-10-01","0.2546952768","0.0839242294"
"70002017","A0118150104","2017-11-01","0.2824270695","0.0811489868"
"70002017","A0118150104","2018-01-01","0.2620357557","0.0882863614"
"70002017","A0118150104","2018-02-01","0.3321358447","0.0870964362"
"70002017","A0118150104","2018-03-01","0.2982016649","0.0914788699"
"70002017","A0118150104","2018-05-01","0.2416649521","0.0658943975"
"70002017","A0118150104","2018-06-01","0.3269143877","0.0803702963"
"70002017","A0118150104","2018-07-01","0.2882369714","0.0700583382"
"70002017","A0418150101","2017-09-01","0.3155734490","0.0810295956"
"70002017","A0418150101","2017-10-01","0.2598117731","0.0720205254"
"70002017","A0418150101","2017-11-01","0.3006703948","0.0683546125"
"70002017","A0418150101","2018-01-01","0.2408308907","0.0805381956"
"70002017","A0418150101","2018-02-01","0.2634311118","0.0671411623"
"70002017","A0418150101","2018-03-01","0.2759022995","0.0798850999"
"70002017","A0418150101","2018-05-01","0.2458435329","0.0714786652"
"70002017","A0418150101","2018-06-01","0.2439293721","0.0687031211"
"70002017","A0418150101","2018-07-01","0.3001121294","0.0681411345"
"70002017","A0418150102","2017-09-01","0.2544833454","0.0682162391"
"70002017","A0418150102","2017-10-01","0.3199550330","0.0987923467"
"70002017","A0418150102","2017-11-01","0.2797527675","0.0799039126"
"70002017","A0418150102","2018-01-01","0.2259728765","0.0865195368"
"70002017","A0418150102","2018-02-01","0.3225707762","0.1034115825"
"70002017","A0418150102","2018-03-01","0.3101444674","0.0773057723"
"70002017","A0418150102","2018-05-01","0.2317241466","0.0732648862"
"70002017","A0418150102","2018-06-01","0.2549860316","0.0908572353"
"70002017","A0418150102","2018-07-01","0.2993870579","0.0757235226"
"70002017","A0418150103","2017-09-01","0.2654406289","0.0751511563"
"70002017","A0418150103","2017-10-01","0.2604167095","0.0879330300"
"70002017","A0418150103","2017-11-01","0.2720343524","0.0964969923"
"70002017","A0418150103","2018-01-01","0.2548338523","0.1018831452"
"70002017","A0418150103","2018-02-01","0.3284969535","0.0787080850"
"70002017","A0418150103","2018-03-01","0.2350662748","0.0835738740"
"70002017","A0418150103","2018-05-01","0.3062056224","0.0697061836"
"70002017","A0418150103","2018-06-01","0.3262839889","0.0753456732"
"70002017","A0418150103","2018-07-01","0.2679679577","0.0781480583"
"70002017","A0418150104","2017-09-01","0.2256422064","0.0708357154"
"70002017","A0418150104","2017-10-01","0.3055479927","0.1019789105"
"70002017","A0418150104","2017-11-01","0.2959654736","0.0719168780"
"70002017","A0418150104","2018-01-01","0.2577303478","0.0856158063"
"70002017","A0418150104","2018-02-01","0.2813233495","0.0692781651"
"70002017","A0418150104","2018-03-01","0.2720247617","0.0762436560"
"70002017","A0418150104","2018-05-01","0.2759116524","0.0732957705"
"70002017","A0418150104","2018-06-01","0.3083295623","0.0738436421"
"70002017","A0418150104","2018-07-01","0.2414051426","0.0933348597"
"70002017","A0418150105","2017-09-01","0.2667230906","0.0689559521"
"70002017","A0418150105","2017-10-01","0.3267858917","0.0720061332"
"70002017","A0418150105","2017-11-01","0.3095926197","0.0714274999"
"70002017","A0418150105","2018-01-01","0.2626744889","0.1037424009"
"70002017","A0418150105","2018-02-01","0.2729831960","0.0755776141"
"70002017","A0418150105","2018-03-01","0.2776032850","0.0712612833"
"70002017","A0418150105","2018-05-01","0.2298850609","0.0855181815"
"70002017","A0418150105","2018-06-01","0.2705939169","0.0764679686"
"70002017","A0418150105","2018-07-01","0.2340552466","0.0983014184"
"70002017","A1018150101","2017-09-01","0.3052331937","0.0999961491"
"70002017","A1018150101","2017-10-01","0.2322442898","0.0708213505"
